2018_02_27_08_03_06_02	2018_02_27_08_03_45_04	누웠다 앉기	누워있다 일어나기(기상)

2018_02_27_08_08_21_01	2018_02_27_08_08_27_08	앉았다 서기	행동없음(추가)

2018_02_27_08_18_23_01	2018_02_27_08_18_29_08	서 있기 (걷기 포함)	냉장고 음식 넣고 꺼내기

2018_02_27_08_19_39_08	2018_02_27_08_19_42_02	서 있다 앉기	행동없음(추가)

2018_02_27_08_19_42_02	2018_02_27_08_38_54_06	의자에 앉아 있다	수저/포크로 음식 집어먹기

2018_02_27_08_38_59_02	2018_02_27_08_39_01_05	앉았다 서기	행동없음(추가)

2018_02_27_08_57_19_07	2018_02_27_08_57_29_05	앉았다 서기	행동없음(추가)

2018_02_27_08_42_03_02	2018_02_27_08_42_20_05	서 있다 앉기	행동없음(추가)

2018_02_27_09_04_56_08	2018_02_27_09_05_01_07	앉았다 서기	행동없음(추가)

2018_02_27_09_06_57_08	2018_02_27_09_07_01_03	서 있다 앉기	행동없음(추가)

2018_02_27_10_09_11_02	2018_02_27_10_09_15_01	앉았다 서기	행동없음(추가)

2018_02_27_10_32_01_04	2018_02_27_10_32_05_00	서 있다 앉기	행동없음(추가)

2018_02_27_10_32_05_00	2018_02_27_10_56_26_05	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_10_56_30_01	2018_02_27_11_53_33_06	바닥에 앉아 있다	전화걸기/받기

2018_02_27_11_53_42_08	2018_02_27_11_53_48_06	앉았다 서기	행동없음(추가)

2018_02_27_12_02_45_01	2018_02_27_12_02_52_01	서 있다 앉기	행동없음(추가)

2018_02_27_12_12_42_04	2018_02_27_13_06_35_05	바닥에 앉아 있다	콩나물/시금치/콩 다듬기

2018_02_27_13_06_41_03	2018_02_27_13_12_06_06	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_13_12_07_07	2018_02_27_13_12_17_01	앉았다 서기	행동없음(추가)

2018_02_27_13_57_05_00	2018_02_27_13_57_10_07	서 있다 앉기	행동없음(추가)

2018_02_27_13_57_17_06	2018_02_27_14_19_51_05	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_14_19_52_07	2018_02_27_14_19_58_02	앉았다 서기	행동없음(추가)

2018_02_27_14_22_46_07	2018_02_27_14_22_51_04	서 있다 앉기	행동없음(추가)

2018_02_27_14_23_20_04	2018_02_27_14_29_47_02	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_14_29_50_05	2018_02_27_14_30_31_01	바닥에 앉아 있다	전화걸기/받기

2018_02_27_14_30_33_04	2018_02_27_14_30_56_06	바닥에 앉아 있다	물/음료 마시기

2018_02_27_14_31_15_02	2018_02_27_14_31_23_04	바닥에 앉아 있다	물/음료 마시기

2018_02_27_14_31_34_00	2018_02_27_14_31_23_04	바닥에 앉아 있다	머리 빗기

2018_02_27_14_31_34_00	2018_02_27_14_32_22_08	바닥에 앉아 있다	머리 빗기

2018_02_27_14_32_25_04	2018_02_27_14_40_00_07	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_14_40_02_00	2018_02_27_14_40_07_07	앉았다 서기	행동없음(추가)

2018_02_27_15_14_00_03	2018_02_27_15_14_06_02	서 있다 앉기	행동없음(추가)

2018_02_27_15_14_08_05	2018_02_27_15_32_35_04	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_15_32_36_05	2018_02_27_15_32_42_03	앉았다 서기	행동없음(추가)

2018_02_27_15_38_39_01	2018_02_27_15_38_45_00	서 있다 앉기	행동없음(추가)

2018_02_27_15_38_47_03	2018_02_27_15_39_07_07	앉았다 눕기	행동없음(추가)

2018_02_27_15_39_09_00	2018_02_27_15_45_43_06	옆으로 누워 있다	리모콘으로 TV 컨트롤하기

2018_02_27_15_45_48_04	2018_02_27_15_46_43_00	옆으로 누워 있다	전화걸기/받기

2018_02_27_15_46_44_02	2018_02_27_15_58_50_06	옆으로 누워 있다	리모콘으로 TV 컨트롤하기

2018_02_27_15_58_54_02	2018_02_27_17_01_29_03	반듯이 누워 있다	리모콘으로 TV 컨트롤하기

2018_02_27_17_01_32_07	2018_02_27_17_52_53_00	옆으로 누워 있다	리모콘으로 TV 컨트롤하기

2018_02_27_17_53_20_06	2018_02_27_18_17_05_04	반듯이 누워 있다	리모콘으로 TV 컨트롤하기

2018_02_27_18_18_07_07	2018_02_27_19_11_28_08	옆으로 누워 있다	리모콘으로 TV 컨트롤하기

2018_02_27_19_20_16_04	2018_02_27_19_20_26_07	서 있다 앉기	행동없음(추가)

2018_02_27_19_20_36_00	2018_02_27_19_31_13_06	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_19_31_15_00	2018_02_27_19_31_17_03	앉았다 서기	행동없음(추가)

2018_02_27_19_31_54_04	2018_02_27_19_31_59_01	서 있다 앉기	행동없음(추가)

2018_02_27_19_32_01_04	2018_02_27_19_54_55_06	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_19_54_57_08	2018_02_27_19_55_22_00	바닥에 앉아 있다	물/음료 마시기

2018_02_27_19_55_27_07	2018_02_27_19_57_25_04	바닥에 앉아 있다	리모콘으로 TV 컨트롤하기

2018_02_27_19_57_25_04	2018_02_27_19_57_35_06	앉았다 눕기	행동없음(추가)

