2017_11_23_11_27_19	2017_11_23_11_27_23	 Keti 	 서 있다 앉기	

2017_11_23_11_28_41	2017_11_23_11_30_51	 Keti 	 바닥에 앉아 있기	물/음료 마시기

2017_11_23_11_30_58	2017_11_23_11_43_42	 Keti 	 바닥에 앉아 있기	책 읽기

2017_11_23_11_46_16	2017_11_23_11_59_35	 Keti 	 바닥에 앉아 있기	책 읽기

2017_11_23_11_59_54	2017_11_23_12_00_11	 Keti 	 앉았다 눕기	책 읽기

2017_11_23_12_01_08	2017_11_23_13_22_48	 Keti 	 옆으로 누워 있기	책 읽기

2017_11_23_13_22_57	2017_11_23_13_24_27	 Keti 	 반듯이 누워 있기	책 읽기

2017_11_23_13_24_39	2017_11_23_14_01_57	 Keti 	 옆으로 누워 있기	책 읽기

2017_11_23_14_02_59	2017_11_23_14_03_08	 Keti 	 누웠다 앉기	책 읽기

2017_11_23_14_03_33	2017_11_23_14_03_39	 Keti 	 앉았다 서기	책 읽기

2017_11_23_14_08_51	2017_11_23_14_08_57	 Keti 	 서 있다 앉기	책 읽기

2017_11_23_14_12_26	2017_11_23_14_50_12	 Keti 	 바닥에 앉아 있기	책 읽기		물/음료 마시기

2017_11_23_15_12_54	2017_11_23_15_26_13	 Keti 	 서 있다 앉기	책 읽기

2017_11_23_15_26_59	2017_11_23_15_30_22	 Keti 	 의자에 앉아 있기	리모콘으로 TV 컨트롤하기

2017_11_23_15_30_31	2017_11_23_15_30_46	 Keti 	 앉았다 눕기	리모콘으로 TV 컨트롤하기

2017_11_23_15_30_48	2017_11_23_16_02_37	 Keti 	 앉았다 눕기	리모콘으로 TV 컨트롤하기

2017_11_23_16_04_43	2017_11_23_16_06_34	 Keti 	 반듯이 누워 있기	리모콘으로 TV 컨트롤하기

2017_11_23_16_06_54	2017_11_23_16_20_12	 Keti 	 옆으로 누워 있기	리모콘으로 TV 컨트롤하기

2017_11_23_16_22_20	2017_11_23_16_23_16	 Keti 	 반듯이 누워 있기	리모콘으로 TV 컨트롤하기

2017_11_23_16_27_42	2017_11_23_16_30_43	 Keti 	 옆으로 누워 있기	리모콘으로 TV 컨트롤하기

2017_11_23_16_31_36	2017_11_23_16_43_06	 Keti 	 반듯이 누워 있기	책 읽기

2017_11_23_16_43_58	2017_11_23_16_53_43	 Keti 	 반듯이 누워 있기	책 읽기

2017_11_23_16_54_06	2017_11_23_16_58_27	 Keti 	 옆으로 누워 있기	책 읽기

2017_11_23_17_00_15	2017_11_23_17_00_31	 Keti 	 누웠다 앉기	책 읽기

2017_11_23_17_49_37	2017_11_23_17_49_40	 Keti 	 서 있다 앉기	책 읽기

2017_11_23_17_49_50	2017_11_23_17_58_11	 Keti 	 서 있다 앉기	리모콘으로 TV 컨트롤하기

2017_11_23_18_07_43	2017_11_23_18_38_27	 Keti 	 반듯이 누워 있기	리모콘으로 TV 컨트롤하기

2017_11_23_18_38_48	2017_11_23_19_00_00	 Keti 	 옆으로 누워 있기	리모콘으로 TV 컨트롤하기

